spotcounts,genes,slide,normalisedDepth,ctxdepthInterval,cell.id,ctxdepthInterval_10
18,Id1,009I,0.0198312433670649,1,009I_M4b_E3_Astrocytes_888_3,1
21,Id1,009I,0.0252121492682057,1,009I_M4b_E3_Astrocytes_888_4,1
5,Id1,009I,0.0288072059683588,1,009I_M4b_E3_Astrocytes_888_5,1
27,Id1,009I,0.0263036010576336,1,009I_M4b_E3_Astrocytes_888_6,1
0,Id1,009I,0.0832018482959227,1,009I_M4b_E3_Astrocytes_888_7,1
2,Id1,009I,0.0759628887950853,1,009I_M4b_E3_Astrocytes_892_1,1
0,Id1,009I,0.0919270212372482,1,009I_M4b_E3_Astrocytes_892_11,1
1,Id1,009I,0.0173533196977438,1,009I_M5b_E3_Astrocytes_794_3,1
1,Id1,009I,0.0258259461507509,1,009I_M5b_E3_Astrocytes_794_4,1
1,Id1,009I,0.0297959422220521,1,009I_M5b_E3_Astrocytes_794_5,1
6,Id1,009I,0.0968608474133444,1,009I_M5b_E3_Astrocytes_794_7,1
1,Id1,009I,0.0501954353114145,1,009I_M5b_E3_Astrocytes_794_9,1
1,Id1,009I,0.0776736593846723,1,009I_M5b_E3_Astrocytes_794_10,1
4,Id1,009I,0.040250327325084,1,009I_M5b_E3_Astrocytes_760_2,1
3,Id1,009I,0.0423014968986319,1,009I_M5b_E3_Astrocytes_760_9,1
10,Id1,009I,0.0898430331093143,1,009I_M5b_E3_Astrocytes_760_10,1
18,Id1,009I,0.0545598331141346,1,009I_M5b_E3_Astrocytes_760_12,1
4,Id1,009I,0.0446798905102902,1,009I_M5b_E3_Astrocytes_760_16,1
1,Id1,009I,0.0281661241888171,1,009I_M5b_E3_Astrocytes_760_17,1
5,Id1,009I,0.0342581139599097,1,009I_M5b_E3_Astrocytes_760_18,1
5,Id1,009I,0.0717017516941408,1,009I_M5b_E3_Astrocytes_760_19,1
2,Id1,009I,0.0427785829217829,1,009I_M5b_E3_Astrocytes_725_20,1
1,Id1,009I,0.0964794354667092,1,009I_M5b_E3_Astrocytes_818_6,1
0,Id1,009I,0.084031531761873,1,009I_M5b_E3_Astrocytes_819_1,1
1,Id1,009I,0.0918006982574276,1,009I_M5b_E3_Astrocytes_819_2,1
4,Id1,009I,0.0143612185287638,1,009I_M5b_E3_Astrocytes_819_3,1
9,Id1,009I,0.0244037894138649,1,009I_M5b_E3_Astrocytes_819_4,1
3,Id1,009I,0.0940591124816561,1,009I_M5b_E3_Astrocytes_819_5,1
1,Id1,009I,0.0889058182540929,1,009I_M5b_E3_Astrocytes_762_16,1
17,Id1,009I,0.0172756041897746,1,009I_M5b_E3_Astrocytes_761_1,1
24,Id1,009I,0.0221552288879842,1,009I_M5b_E3_Astrocytes_761_2,1
9,Id1,009I,0.0199626102572347,1,009I_M5b_E3_Astrocytes_761_3,1
6,Id1,009I,0.0536872466513953,1,009I_M5b_E3_Astrocytes_761_5,1
14,Id1,009I,0.0413725393907179,1,009I_M5b_E3_Astrocytes_761_7,1
0,Id1,009I,0.0878025325172173,1,009I_M5b_E3_Astrocytes_761_10,1
1,Id1,009I,0.0191820563893876,1,009I_M5b_E3_Astrocytes_761_11,1
2,Id1,009I,0.0884531431597632,1,009I_M5b_E3_Astrocytes_761_12,1
3,Id1,009I,0.0193819978414086,1,009I_M5b_E3_Astrocytes_761_13,1
4,Id1,009I,0.0443091283883708,1,009I_M5b_E3_Astrocytes_793_3,1
3,Id1,009I,0.0205749666023536,1,009I_M5b_E3_Astrocytes_793_5,1
10,Id1,009I,0.0213976964377964,1,009I_M5b_E3_Astrocytes_793_6,1
12,Id1,009I,0.0194631750365399,1,009I_M5b_E3_Astrocytes_793_7,1
0,Id1,009I,0.0582784745819226,1,009I_M5b_E3_Astrocytes_793_8,1
7,Id1,009I,0.0226425083479255,1,009I_M5b_E3_Astrocytes_793_10,1
12,Id1,009I,0.0433843891736161,1,009I_M5b_E3_Astrocytes_793_12,1
0,Id1,009I,0.0802940194165807,1,009I_M5b_E3_Astrocytes_795_17,1
4,Il33,009I,0.0693495344755011,1,009I_M4b_E3_Astrocytes_911_1,1
3,Il33,009I,0.0547484245269973,1,009I_M4b_E3_Astrocytes_911_2,1
11,Il33,009I,0.0871523649653696,1,009I_M4b_E3_Astrocytes_911_3,1
1,Il33,009I,0.0117527664175627,1,009I_M4b_E3_Astrocytes_911_8,1
5,Il33,009I,0.0819231150142809,1,009I_M4b_E3_Astrocytes_911_9,1
0,Il33,009I,0.0125567953703504,1,009I_M4b_E3_Astrocytes_911_10,1
4,Il33,009I,0.011658693091679,1,009I_M4b_E3_Astrocytes_911_11,1
0,Il33,009I,0.0227558082925767,1,009I_M4b_E3_Astrocytes_911_13,1
1,Il33,009I,0.0223214111489639,1,009I_M4b_E3_Astrocytes_889_1,1
1,Il33,009I,0.0183268002073109,1,009I_M4b_E3_Astrocytes_889_2,1
0,Il33,009I,0.0168311573663624,1,009I_M4b_E3_Astrocytes_889_3,1
0,Il33,009I,0.0210565330209534,1,009I_M4b_E3_Astrocytes_889_4,1
1,Il33,009I,0.02236942871334,1,009I_M4b_E3_Astrocytes_889_5,1
1,Il33,009I,0.0758076169986956,1,009I_M4b_E3_Astrocytes_938_2,1
0,Il33,009I,0.0604733189268989,1,009I_M4b_E3_Astrocytes_938_4,1
0,Il33,009I,0.0468348113925977,1,009I_M4b_E3_Astrocytes_629_3,1
1,Il33,009I,0.0148640824299928,1,009I_M4b_E3_Astrocytes_629_4,1
0,Il33,009I,0.0627372671588459,1,009I_M4b_E3_Astrocytes_629_5,1
0,Il33,009I,0.0702646409270988,1,009I_M4b_E3_Astrocytes_629_6,1
0,Il33,009I,0.0893638624715631,1,009I_M4b_E3_Astrocytes_713_1,1
0,Il33,009I,0.0686683610489552,1,009I_M4b_E3_Astrocytes_633_1,1
0,Il33,009I,0.0731709701193356,1,009I_M4b_E3_Astrocytes_633_2,1
6,Il33,009I,0.0462261984195804,1,009I_M4b_E3_Astrocytes_633_3,1
0,Il33,009I,0.044047995153405,1,009I_M4b_E3_Astrocytes_681_1,1
0,Il33,009I,0.0412721829330779,1,009I_M4b_E3_Astrocytes_681_3,1
0,Il33,009I,0.0946737160076766,1,009I_M4b_E3_Astrocytes_681_4,1
2,Il33,009I,0.0906115935890915,1,009I_M4b_E3_Astrocytes_681_7,1
1,Il33,009I,0.0226646977053046,1,009I_M4b_E3_Astrocytes_891_1,1
0,Il33,009I,0.0209814964263508,1,009I_M4b_E3_Astrocytes_891_2,1
1,Il33,009I,0.0225210463357192,1,009I_M4b_E3_Astrocytes_891_3,1
0,Il33,009I,0.0518101796914832,1,009I_M4b_E3_Astrocytes_891_4,1
1,Il33,009I,0.020985259976463,1,009I_M4b_E3_Astrocytes_891_5,1
0,Il33,009I,0.0671267317652427,1,009I_M4b_E3_Astrocytes_937_1,1
